283.025, 130.763, 8.101,  8.537 False
282.754, 130.774, 8.129,  8.570 False
282.483, 130.784, 8.161,  8.603 False
282.210, 130.794, 8.188,  8.636 False
281.937, 130.803, 8.219,  8.669 False
281.662, 130.812, 8.247,  8.702 False
281.387, 130.821, 8.271,  8.735 False
281.111, 130.829, 8.290,  8.768 False
280.834, 130.838, 8.306,  8.801 False
280.557, 130.846, 8.320,  8.834 False
280.280, 130.853, 8.332,  8.867 False
280.002, 130.860, 8.342,  8.900 False
279.724, 130.867, 8.351,  8.933 False
279.446, 130.873, 8.359,  8.966 False
279.167, 130.878, 8.365,  8.999 False
278.888, 130.883, 8.371,  9.032 False
278.609, 130.888, 8.376,  9.065 False
278.330, 130.893, 8.381,  9.098 False
278.051, 130.897, 8.385,  9.131 False
277.771, 130.901, 8.388,  9.164 False
277.492, 130.905, 8.391,  9.197 False
277.212, 130.908, 8.393,  9.230 False
276.933, 130.911, 8.394,  9.263 False
276.653, 130.913, 8.396,  9.296 False
276.373, 130.916, 8.398,  9.329 False
276.093, 130.917, 8.398,  9.362 False
275.813, 130.918, 8.399,  9.395 False
275.533, 130.919, 8.400,  9.428 False
275.253, 130.920, 8.401,  9.461 False
274.973, 130.921, 8.401,  9.494 False
274.693, 130.922, 8.401,  9.527 False
274.413, 130.921, 8.401,  9.560 False
274.133, 130.920, 8.400,  9.593 False
273.854, 130.920, 8.400,  9.626 False
273.574, 130.919, 8.400,  9.659 False
273.294, 130.918, 8.400,  9.692 False
273.014, 130.916, 8.399,  9.725 False
272.734, 130.914, 8.398,  9.758 False
272.454, 130.912, 8.398,  9.791 False
272.174, 130.910, 8.397,  9.824 False
271.894, 130.908, 8.396,  9.857 False
271.614, 130.905, 8.395,  9.890 False
271.335, 130.902, 8.394,  9.923 False
271.055, 130.899, 8.393,  9.956 False
270.775, 130.895, 8.393,  9.989 False
270.495, 130.892, 8.392, 10.022 False
270.216, 130.888, 8.391, 10.055 False
269.936, 130.884, 8.390, 10.088 False
269.656, 130.879, 8.389, 10.121 False
269.377, 130.875, 8.388, 10.154 False
269.097, 130.870, 8.387, 10.187 False
268.818, 130.865, 8.386, 10.220 False
268.538, 130.859, 8.385, 10.253 False
268.259, 130.854, 8.384, 10.286 False
267.980, 130.848, 8.383, 10.319 False
267.700, 130.843, 8.382, 10.352 False
267.421, 130.837, 8.381, 10.385 False
267.142, 130.831, 8.380, 10.418 False
266.863, 130.825, 8.379, 10.451 False
266.583, 130.818, 8.378, 10.484 False
266.304, 130.811, 8.377, 10.517 False
266.025, 130.805, 8.376, 10.550 False
265.746, 130.798, 8.375, 10.583 False
265.467, 130.791, 8.374, 10.616 False
265.188, 130.784, 8.373, 10.649 False
264.909, 130.776, 8.372, 10.682 False
264.630, 130.769, 8.372, 10.715 False
264.351, 130.762, 8.371, 10.748 False
264.072, 130.754, 8.370, 10.781 False
263.793, 130.746, 8.369, 10.814 False
263.514, 130.738, 8.368, 10.847 False
263.236, 130.730, 8.367, 10.880 False
262.957, 130.721, 8.367, 10.913 False
262.678, 130.713, 8.366, 10.946 False
262.399, 130.704, 8.365, 10.979 False
262.121, 130.696, 8.364, 11.012 False
261.842, 130.687, 8.364, 11.045 False
261.563, 130.678, 8.363, 11.078 False
261.285, 130.669, 8.362, 11.111 False
261.006, 130.659, 8.361, 11.144 False
260.728, 130.650, 8.361, 11.177 False
260.449, 130.640, 8.360, 11.210 False
260.171, 130.631, 8.359, 11.243 False
259.892, 130.621, 8.359, 11.276 False
259.614, 130.611, 8.358, 11.309 False
259.336, 130.601, 8.358, 11.342 False
259.057, 130.591, 8.357, 11.375 False
258.779, 130.581, 8.356, 11.408 False
258.500, 130.571, 8.356, 11.441 False
258.222, 130.561, 8.355, 11.474 False
257.944, 130.550, 8.355, 11.507 False
257.666, 130.540, 8.354, 11.540 False
257.387, 130.529, 8.354, 11.573 False
257.109, 130.518, 8.353, 11.606 False
256.831, 130.508, 8.353, 11.639 False
256.553, 130.497, 8.352, 11.672 False
256.274, 130.486, 8.352, 11.705 False
255.996, 130.475, 8.351, 11.738 False
255.718, 130.464, 8.351, 11.771 False
255.440, 130.453, 8.350, 11.804 False
255.162, 130.442, 8.350, 11.837 False
254.884, 130.431, 8.350, 11.870 False
254.606, 130.420, 8.349, 11.903 False
254.328, 130.409, 8.349, 11.936 False
254.050, 130.398, 8.348, 11.969 False
253.771, 130.386, 8.348, 12.002 False
253.493, 130.375, 8.348, 12.035 False
253.215, 130.363, 8.347, 12.068 False
252.937, 130.352, 8.347, 12.101 False
252.660, 130.341, 8.347, 12.134 False
252.382, 130.329, 8.346, 12.167 False
252.104, 130.318, 8.346, 12.200 False
251.826, 130.306, 8.346, 12.233 False
251.548, 130.295, 8.345, 12.266 False
251.270, 130.283, 8.345, 12.299 False
250.992, 130.271, 8.345, 12.332 False
250.714, 130.260, 8.344, 12.365 False
250.436, 130.248, 8.344, 12.398 False
250.158, 130.236, 8.344, 12.431 False
249.880, 130.225, 8.344, 12.464 False
249.602, 130.213, 8.343, 12.497 False
249.325, 130.201, 8.343, 12.530 False
249.047, 130.189, 8.343, 12.563 False
248.769, 130.178, 8.343, 12.596 False
248.491, 130.166, 8.342, 12.629 False
248.213, 130.154, 8.342, 12.662 False
247.935, 130.141, 8.342, 12.695 False
247.658, 130.130, 8.342, 12.728 False
247.380, 130.118, 8.341, 12.761 False
247.102, 130.106, 8.341, 12.794 False
246.824, 130.094, 8.341, 12.827 False
246.547, 130.082, 8.341, 12.860 False
246.269, 130.070, 8.341, 12.893 False
245.991, 130.058, 8.340, 12.926 False
245.713, 130.046, 8.340, 12.959 False
245.436, 130.034, 8.340, 12.992 False
245.158, 130.022, 8.340, 13.025 False
244.880, 130.010, 8.340, 13.058 False
244.602, 129.998, 8.340, 13.091 False
244.325, 129.987, 8.339, 13.124 False
244.047, 129.975, 8.339, 13.157 False
243.769, 129.963, 8.339, 13.190 False
243.491, 129.952, 8.339, 13.223 False
243.214, 129.940, 8.339, 13.256 False
242.936, 129.928, 8.339, 13.289 False
242.658, 129.917, 8.338, 13.322 False
242.381, 129.905, 8.338, 13.355 False
242.103, 129.894, 8.338, 13.388 False
241.825, 129.882, 8.338, 13.421 False
241.548, 129.871, 8.338, 13.454 False
241.270, 129.859, 8.338, 13.487 False
240.992, 129.848, 8.338, 13.520 False
240.714, 129.837, 8.338, 13.553 False
240.437, 129.826, 8.337, 13.586 False
240.159, 129.814, 8.337, 13.619 False
239.881, 129.803, 8.337, 13.652 False
239.604, 129.792, 8.337, 13.685 False
239.326, 129.781, 8.337, 13.718 False
239.048, 129.770, 8.337, 13.751 False
238.771, 129.759, 8.337, 13.784 False
238.493, 129.748, 8.337, 13.817 False
238.215, 129.738, 8.337, 13.850 False
237.937, 129.727, 8.337, 13.883 False
237.660, 129.716, 8.336, 13.916 False
237.382, 129.706, 8.336, 13.949 False
237.104, 129.695, 8.336, 13.982 False
236.827, 129.685, 8.336, 14.015 False
236.549, 129.674, 8.336, 14.048 False
236.271, 129.664, 8.336, 14.081 False
235.994, 129.653, 8.336, 14.114 False
235.716, 129.643, 8.336, 14.147 False
235.438, 129.633, 8.336, 14.180 False
235.161, 129.623, 8.336, 14.213 False
234.883, 129.613, 8.336, 14.246 False
234.605, 129.603, 8.336, 14.279 False
234.328, 129.593, 8.336, 14.312 False
234.050, 129.584, 8.335, 14.345 False
233.772, 129.574, 8.335, 14.378 False
233.495, 129.564, 8.335, 14.411 False
233.217, 129.555, 8.335, 14.444 False
232.939, 129.545, 8.335, 14.477 False
232.662, 129.536, 8.335, 14.510 False
232.384, 129.526, 8.335, 14.543 False
232.106, 129.517, 8.335, 14.576 False
231.829, 129.508, 8.335, 14.609 False
231.551, 129.499, 8.335, 14.642 False
231.273, 129.490, 8.335, 14.675 False
230.995, 129.481, 8.335, 14.708 False
230.718, 129.472, 8.335, 14.741 False
230.440, 129.464, 8.335, 14.774 False
230.162, 129.455, 8.335, 14.807 False
229.885, 129.446, 8.335, 14.840 False
229.607, 129.438, 8.335, 14.873 False
229.329, 129.430, 8.335, 14.906 False
229.052, 129.421, 8.335, 14.939 False
228.774, 129.413, 8.335, 14.972 False
228.496, 129.405, 8.334, 15.005 False
228.219, 129.397, 8.334, 15.038 False
227.941, 129.389, 8.334, 15.071 False
227.663, 129.381, 8.334, 15.104 False
227.385, 129.374, 8.334, 15.137 False
227.108, 129.366, 8.334, 15.170 False
226.830, 129.358, 8.334, 15.203 False
226.552, 129.351, 8.334, 15.236 False
226.275, 129.344, 8.334, 15.269 False
225.997, 129.337, 8.334, 15.302 False
